Sample	PC1	PC2	PC3	PC4	studyName	sampleType	tissueType	tissueType_2	tumorStatus_2	deseq2_normalization
76	SRR659923_Thyroid	-0.0276074727879515	-0.0209897332490872	0.0294844484695238	-0.000814087928820675	gtex	Thyroid	Thyroid	thyroid	Normal	1.9375649726226
77	SRR659947_Thyroid	-0.0276685860051475	-0.0193603687689493	0.0292620272369704	0.00526922316906043	gtex	Thyroid	Thyroid	thyroid	Normal	2.20598019124226
78	SRR659851_Thyroid	-0.0276093179581679	-0.0204125160434571	0.0320746635773391	0.00354166092600991	gtex	Thyroid	Thyroid	thyroid	Normal	0.814615948196806
79	SRR659259_Thyroid	-0.0276875198957465	-0.0144543926867668	0.0192153156184249	0.0150807127236449	gtex	Thyroid	Thyroid	thyroid	Normal	0.532007965245157
80	SRR660079_Thyroid	-0.0275365690751653	-0.0195773641906436	0.0341199405068612	0.0022758982857663	gtex	Thyroid	Thyroid	thyroid	Normal	1.11813084525456
81	SRR660212_Thyroid	-0.0275028446989775	-0.0221610146401538	0.0321302216923579	0.00921566225119442	gtex	Thyroid	Thyroid	thyroid	Normal	1.41180417508406
82	SRR660236_Thyroid	-0.0274583185767594	-0.0157243609418915	0.0209244852981897	0.00618750071377424	gtex	Thyroid	Thyroid	thyroid	Normal	0.850978127134268
83	SRR660438_Thyroid	-0.0274525653064605	-0.0191930370438398	0.0353307174673678	0.0070777713939112	gtex	Thyroid	Thyroid	thyroid	Normal	0.904982303651982
84	SRR665646_Thyroid	-0.0275050979750769	-0.0165893511789075	0.0301936756822718	0.0081908575061595	gtex	Thyroid	Thyroid	thyroid	Normal	0.293224712899539
85	SRR665490_Thyroid	-0.0274225188340548	-0.019551846803868	0.0371018361211111	0.00193911682373351	gtex	Thyroid	Thyroid	thyroid	Normal	1.84930118686858
86	SRR661052_Prostate	-0.0275056969819621	-0.0138834172730948	-0.0083846754647284	0.000648482630325698	gtex	Prostate	Prostate	prostate	Normal	1.05682158013548
87	SRR663368_Thyroid	-0.0276869920274776	-0.0203797625939721	0.0299799297152978	0.00711526555675337	gtex	Thyroid	Thyroid	thyroid	Normal	1.09011261744604
88	SRR663380_Thyroid	-0.0276422457361859	-0.0197684925866239	0.032752603658554	0.00841768806034581	gtex	Thyroid	Thyroid	thyroid	Normal	1.49803591158488
89	SRR663392_Thyroid	-0.0275477143241034	-0.0238317449536839	0.0265867657944662	0.00548049596779359	gtex	Thyroid	Thyroid	thyroid	Normal	1.51331048885065
90	SRR661409_Thyroid	-0.0276309164529359	-0.0170377676478986	0.0243203320806165	0.00997635430937794	gtex	Thyroid	Thyroid	thyroid	Normal	0.394495668306637
